Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",115.519200,-93.014800,0.000000,top
"J13","Conn_01x04_Male","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",142.557500,-101.600000,90.000000,top
"QWIIC","Conn_01x04_Male","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",116.332000,-108.000800,90.000000,top
"R1","330","R_0805_2012Metric",139.065000,-114.935000,270.000000,top
"R2","330","R_0805_2012Metric",141.097000,-114.935000,270.000000,top
"R3","330","R_0805_2012Metric",143.129000,-114.935000,270.000000,top
"R4","330","R_0805_2012Metric",145.161000,-114.935000,270.000000,top
"R5","330","R_0805_2012Metric",115.519200,-91.033600,180.000000,top
"R6","4.7k","R_0805_2012Metric",112.166400,-114.757200,90.000000,top
"R7","4.7k","R_0805_2012Metric",115.570000,-114.757200,90.000000,top
"U2","SN74LV1T34DBV","SOT-23-5",119.176800,-90.322400,180.000000,top
