Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,115.5192,-93.0148,0,top
J1,Conn_01x04_Male,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,108.585,-90.9828,270,top
J2,Conn_02x10_Odd_Even,PinHeader_2x10_P2.54mm_Vertical,137.16,-119.38,270,top
J3,Conn_01x05_Male,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,146.304,-120.142,0,top
J4,Conn_01x04_Male,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,159.258,-120.142,0,top
J9,Conn_01x04_Male,BOOM_SH_C145961_1x04_P1.00mm_Vertical,116.332,-108.0008,90,top
J10,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,184.277,-120.142,90,top
J11,Conn_01x04_Male,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,170.212,-120.142,0,top
J12,Conn_01x04_Male,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,108.6104,-105.0036,270,top
J13,Conn_01x04_Male,BOOM_SH_C145961_1x04_P1.00mm_Vertical,142.5575,-101.6,90,top
R1,330,R_0805_2012Metric,139.065,-114.935,270,top
R2,330,R_0805_2012Metric,141.097,-114.935,270,top
R3,330,R_0805_2012Metric,143.129,-114.935,270,top
R4,330,R_0805_2012Metric,145.161,-114.935,270,top
R5,330,R_0805_2012Metric,115.5192,-91.0336,180,top
R6,4.7k,R_0805_2012Metric,112.5,-114.7572,90,top
R7,4.7k,R_0805_2012Metric,115.57,-114.7572,90,top
U2,SN74LV1T34DBV,SOT-23-5,119.1768,-90.3224,180,top
